Tag_Number,Hazard_Rat,DBH__cm_,Notes,Max_PDOP,Corr_Type,GPS_Date,GPS_Time,Feat_Name,Datafile,Unfilt_Pos,Filt_Pos,Data_Dicti,Std_Dev,Point_ID
"1070",Healthy,46.0,,2.4,Uncorrected,2022/09/28,10:50:51am,Tagged_T,KH-928-FAB.SSF,"31","31",K Campus Trees,0.206596,"1"
"1071",Healthy,35.3,,2.2,Real-time SBAS Corrected,2022/09/28,10:52:16am,Tagged_T,KH-928-FAB.SSF,"12","12",K Campus Trees,0.670480,"2"
"1072",Healthy,34.6,,1.5,Real-time SBAS Corrected,2022/09/28,10:54:04am,Tagged_T,KH-928-FAB.SSF,"18","18",K Campus Trees,0.262271,"3"
"1073",Healthy,33.6,,1.3,Real-time SBAS Corrected,2022/09/28,10:56:21am,Tagged_T,KH-928-FAB.SSF,"12","12",K Campus Trees,0.337581,"4"
"1086",Healthy,31.8,5.7 5.4 4.5 4.8 4.4 3.8 3.6,2.1,Real-time SBAS Corrected,2022/09/28,11:00:12am,Tagged_T,KH-928-FAB.SSF,"41","41",K Campus Trees,0.797988,"5"
"1090",Some distress,22.8,"10.5 4.8 7.5; limb dmg",2.0,Real-time SBAS Corrected,2022/09/28,11:03:42am,Tagged_T,KH-928-FAB.SSF,"39","39",K Campus Trees,0.353004,"6"
"1092",Some distress,16.2,7.7 3.2 1.8 3.5,1.8,Real-time SBAS Corrected,2022/09/28,11:06:46am,Tagged_T,KH-928-FAB.SSF,"30","30",K Campus Trees,0.074067,"7"
"1093",Healthy,54.6,18.8 17.6 18.2,1.7,Real-time SBAS Corrected,2022/09/28,11:09:29am,Tagged_T,KH-928-FAB.SSF,"46","46",K Campus Trees,0.719489,"8"
"1094",Healthy,54.5,13.5 13.5 13.2 14.3,3.3,Real-time SBAS Corrected,2022/09/28,11:12:48am,Tagged_T,KH-928-FAB.SSF,"44","44",K Campus Trees,1.037430,"9"
"1095",Healthy,58.7,pull tag out,1.3,Real-time SBAS Corrected,2022/09/28,11:16:20am,Tagged_T,KH-928-FAB.SSF,"18","18",K Campus Trees,0.266652,"10"
"1096",Healthy,34.7,,1.4,Real-time SBAS Corrected,2022/09/28,11:18:23am,Tagged_T,KH-928-FAB.SSF,"19","19",K Campus Trees,0.301117,"11"
"1135",Some distress,43.6,spongy moth nesting,1.4,Real-time SBAS Corrected,2022/09/28,11:22:36am,Tagged_T,KH-928-FAB.SSF,"17","17",K Campus Trees,0.449951,"12"
"9999",Some distress,50.1,"fab sculpt front; base rot",1.5,Real-time SBAS Corrected,2022/09/28,11:25:10am,Tagged_T,KH-928-FAB.SSF,"17","17",K Campus Trees,0.324687,"13"
"9999",Healthy,35.4,"acadmy st, fab side stair",1.2,Real-time SBAS Corrected,2022/09/28,11:27:25am,Tagged_T,KH-928-FAB.SSF,"17","17",K Campus Trees,0.736489,"14"
"1097",Healthy,60.1,pull tag out,1.3,Uncorrected,2022/09/28,11:29:36am,Tagged_T,KH-928-FAB.SSF,"14","14",K Campus Trees,0.492826,"15"
"1099",Some distress,23.7,base rot,1.1,Real-time SBAS Corrected,2022/09/28,11:31:08am,Tagged_T,KH-928-FAB.SSF,"28","28",K Campus Trees,0.223669,"16"
"1098",Healthy,36.9,15.3 9.8 11.8,1.6,Real-time SBAS Corrected,2022/09/28,11:34:07am,Tagged_T,KH-928-FAB.SSF,"25","25",K Campus Trees,0.581243,"17"
"1100",Some distress,31.1,16.2 8.6 6.3,1.3,Real-time SBAS Corrected,2022/09/28,11:36:58am,Tagged_T,KH-928-FAB.SSF,"33","33",K Campus Trees,0.482405,"18"
"1101",Healthy,48.7,20 28.7,1.5,Real-time SBAS Corrected,2022/09/28,11:39:17am,Tagged_T,KH-928-FAB.SSF,"24","24",K Campus Trees,0.426013,"19"
"1134",Some distress,52.9,,3.3,Real-time SBAS Corrected,2022/09/28,11:41:38am,Tagged_T,KH-928-FAB.SSF,"27","27",K Campus Trees,1.426646,"20"
"1127",Healthy,68.1,,1.4,Real-time SBAS Corrected,2022/09/28,11:44:13am,Tagged_T,KH-928-FAB.SSF,"10","10",K Campus Trees,0.127048,"21"
"1126",Healthy,29.8,20.5 9.3,1.3,Real-time SBAS Corrected,2022/09/28,11:47:21am,Tagged_T,KH-928-FAB.SSF,"17","17",K Campus Trees,0.518679,"22"
"1133",Healthy,33.6,,1.1,Real-time SBAS Corrected,2022/09/28,11:49:35am,Tagged_T,KH-928-FAB.SSF,"22","22",K Campus Trees,0.547128,"23"
"1131",Extreme distress,67.6,,1.6,Real-time SBAS Corrected,2022/09/28,11:52:33am,Tagged_T,KH-928-FAB.SSF,"14","14",K Campus Trees,0.608347,"24"
"1132",Healthy,57.0,,1.1,Real-time SBAS Corrected,2022/09/28,11:55:10am,Tagged_T,KH-928-FAB.SSF,"12","12",K Campus Trees,0.743563,"25"
"1130",Healthy,28.9,,1.3,Real-time SBAS Corrected,2022/09/28,11:57:14am,Tagged_T,KH-928-FAB.SSF,"15","15",K Campus Trees,0.149338,"26"
