Tag_Number,Hazard_Rat,DBH__cm_,Notes,Max_PDOP,Corr_Type,GPS_Date,GPS_Time,Feat_Name,Datafile,Unfilt_Pos,Filt_Pos,Data_Dicti,Std_Dev,Point_ID
"1184",Healthy,9.3,,1.2,Real-time SBAS Corrected,2022/10/05,02:51:51pm,Tagged_T,KH-SEV-1005.SSF,"13","13",K Campus Trees,0.491060,"1"
"1183",Healthy,65.7,,1.3,Real-time SBAS Corrected,2022/10/05,02:54:39pm,Tagged_T,KH-SEV-1005.SSF,"16","16",K Campus Trees,0.740671,"2"
"1238",Some distress,101.3,12.4 16.6 21.7 20.3 30.3,1.1,Real-time SBAS Corrected,2022/10/05,03:00:10pm,Tagged_T,KH-SEV-1005.SSF,"21","21",K Campus Trees,0.284727,"3"
"1239",Healthy,47.2,25.5 23.7 18,1.2,Real-time SBAS Corrected,2022/10/05,03:02:30pm,Tagged_T,KH-SEV-1005.SSF,"35","35",K Campus Trees,1.041070,"4"
"1182",Healthy,72.2,,1.4,Real-time SBAS Corrected,2022/10/05,03:08:44pm,Tagged_T,KH-SEV-1005.SSF,"12","12",K Campus Trees,0.348843,"5"
"1184",Healthy,71.3,,1.5,Real-time SBAS Corrected,2022/10/05,03:12:05pm,Tagged_T,KH-SEV-1005.SSF,"11","11",K Campus Trees,2.389761,"6"
"1180",Healthy,72.2,,1.4,Real-time SBAS Corrected,2022/10/05,03:14:43pm,Tagged_T,KH-SEV-1005.SSF,"11","11",K Campus Trees,0.614220,"7"
"1179",Healthy,70.7,,1.3,Real-time SBAS Corrected,2022/10/05,03:17:58pm,Tagged_T,KH-SEV-1005.SSF,"13","13",K Campus Trees,1.045689,"8"
"1178",Healthy,70.5,,1.1,Real-time SBAS Corrected,2022/10/05,03:21:07pm,Tagged_T,KH-SEV-1005.SSF,"11","11",K Campus Trees,0.299443,"9"
"1177",Some distress,72.3,spongy moth eggs,1.3,Real-time SBAS Corrected,2022/10/05,03:25:05pm,Tagged_T,KH-SEV-1005.SSF,"10","10",K Campus Trees,0.358196,"10"
"1256",Healthy,25.1,8.7 7.2 9.2,1.4,Real-time SBAS Corrected,2022/10/05,03:29:13pm,Tagged_T,KH-SEV-1005.SSF,"18","18",K Campus Trees,0.239827,"11"
"1251",Healthy,68.5,,1.2,Real-time SBAS Corrected,2022/10/05,03:31:47pm,Tagged_T,KH-SEV-1005.SSF,"11","11",K Campus Trees,0.331857,"12"
"1250",Healthy,81.2,,1.5,Uncorrected,2022/10/05,03:34:46pm,Tagged_T,KH-SEV-1005.SSF,"11","11",K Campus Trees,0.264378,"13"
"1249",Healthy,60.1,,1.4,Real-time SBAS Corrected,2022/10/05,03:37:22pm,Tagged_T,KH-SEV-1005.SSF,"12","12",K Campus Trees,0.892728,"14"
"1248",Healthy,65.5,,1.2,Uncorrected,2022/10/05,03:41:04pm,Tagged_T,KH-SEV-1005.SSF,"11","11",K Campus Trees,1.144685,"15"
"1242",Healthy,41.6,,1.3,Real-time SBAS Corrected,2022/10/05,03:43:00pm,Tagged_T,KH-SEV-1005.SSF,"11","11",K Campus Trees,0.171112,"16"
"9999",Some distress,80.8,"am. sycamore; right of volleyball crt",1.3,Real-time SBAS Corrected,2022/10/05,03:48:30pm,Tagged_T,KH-SEV-1005.SSF,"19","19",K Campus Trees,0.659826,"17"
"9999",Healthy,26.6,"wht pin?; 1st in row; behnd natatorium",1.4,Real-time SBAS Corrected,2022/10/05,03:52:43pm,Tagged_T,KH-SEV-1005.SSF,"22","22",K Campus Trees,0.283172,"18"
"9999",Some distress,28.3,"2nd from left wht pine; behind nat",1.1,Real-time SBAS Corrected,2022/10/05,03:54:29pm,Tagged_T,KH-SEV-1005.SSF,"22","22",K Campus Trees,0.655695,"19"
"9999",Healthy,28.3,"3/7 lft to right; behind nat; wht pine",1.1,Real-time SBAS Corrected,2022/10/05,03:56:28pm,Tagged_T,KH-SEV-1005.SSF,"18","18",K Campus Trees,0.927529,"20"
"9999",Some distress,27.6,"4/7 lft to rght; behind nat; wht pin",1.2,Real-time SBAS Corrected,2022/10/05,03:58:12pm,Tagged_T,KH-SEV-1005.SSF,"14","14",K Campus Trees,0.179828,"21"
"9999",Healthy,23.8,"5/7 lft to rght; wht pin",1.0,Real-time SBAS Corrected,2022/10/05,04:00:04pm,Tagged_T,KH-SEV-1005.SSF,"15","15",K Campus Trees,0.138623,"22"
"9999",Healthy,28.3,"wht pin; 6/7 lft to rght",1.5,Real-time SBAS Corrected,2022/10/05,04:01:03pm,Tagged_T,KH-SEV-1005.SSF,"21","21",K Campus Trees,0.550550,"23"
"9999",Healthy,24.4,"7/7 lft to rght; wht pin;",1.2,Real-time SBAS Corrected,2022/10/05,04:03:11pm,Tagged_T,KH-SEV-1005.SSF,"10","10",K Campus Trees,0.216940,"24"
"1289",Healthy,9.7,,1.3,Real-time SBAS Corrected,2022/10/05,04:05:49pm,Tagged_T,KH-SEV-1005.SSF,"10","10",K Campus Trees,0.182591,"25"
"1290",Healthy,15.9,,1.1,Real-time SBAS Corrected,2022/10/05,04:07:08pm,Tagged_T,KH-SEV-1005.SSF,"12","12",K Campus Trees,0.087205,"26"
"9999",Healthy,85.5,"acad behind nat; red oak?",1.2,Real-time SBAS Corrected,2022/10/05,04:09:31pm,Tagged_T,KH-SEV-1005.SSF,"14","14",K Campus Trees,0.138072,"27"
"1292",Healthy,35.0,,1.4,Real-time SBAS Corrected,2022/10/05,04:11:25pm,Tagged_T,KH-SEV-1005.SSF,"10","10",K Campus Trees,0.262013,"28"
