Tag_Number,Hazard_Rat,DBH__cm_,Notes,Max_PDOP,Corr_Type,GPS_Date,GPS_Time,Feat_Name,Datafile,Unfilt_Pos,Filt_Pos,Data_Dicti,Std_Dev,Point_ID
"1104",Healthy,5.6,,1.7,Real-time SBAS Corrected,2022/10/01,10:14:27am,Tagged_T,KH-TENNIS-1001.SSF,"16","16",K Campus Trees,1.575357,"1"
"1105",Healthy,5.9,,3.1,Real-time SBAS Corrected,2022/10/01,10:16:08am,Tagged_T,KH-TENNIS-1001.SSF,"11","11",K Campus Trees,0.548539,"2"
"1106",Healthy,5.0,,1.7,Real-time SBAS Corrected,2022/10/01,10:17:53am,Tagged_T,KH-TENNIS-1001.SSF,"12","12",K Campus Trees,0.102682,"3"
"1107",Healthy,4.7,,2.4,Real-time SBAS Corrected,2022/10/01,10:18:53am,Tagged_T,KH-TENNIS-1001.SSF,"29","29",K Campus Trees,0.575617,"4"
"1115",Some distress,38.5,,2.2,Real-time SBAS Corrected,2022/10/01,10:22:20am,Tagged_T,KH-TENNIS-1001.SSF,"13","13",K Campus Trees,1.353209,"5"
"1120",Extreme distress,29.3,,1.3,Real-time SBAS Corrected,2022/10/01,10:24:31am,Tagged_T,KH-TENNIS-1001.SSF,"11","11",K Campus Trees,0.484165,"6"
"1121",Healthy,40.5,,1.2,Real-time SBAS Corrected,2022/10/01,10:26:57am,Tagged_T,KH-TENNIS-1001.SSF,"12","12",K Campus Trees,1.574447,"7"
"1122",Healthy,60.4,,1.4,Real-time SBAS Corrected,2022/10/01,10:29:59am,Tagged_T,KH-TENNIS-1001.SSF,"11","11",K Campus Trees,3.276299,"8"
"1123",,63.5,,1.7,Real-time SBAS Corrected,2022/10/01,10:33:27am,Tagged_T,KH-TENNIS-1001.SSF,"11","11",K Campus Trees,0.535307,"9"
"1125",Healthy,21.4,,1.2,Real-time SBAS Corrected,2022/10/01,10:35:29am,Tagged_T,KH-TENNIS-1001.SSF,"11","11",K Campus Trees,0.155357,"10"
"1119",Healthy,55.0,26.4 28.6,1.5,Uncorrected,2022/10/01,10:38:18am,Tagged_T,KH-TENNIS-1001.SSF,"25","25",K Campus Trees,0.337092,"11"
"1118",Healthy,43.7,,1.2,Real-time SBAS Corrected,2022/10/01,10:41:03am,Tagged_T,KH-TENNIS-1001.SSF,"12","12",K Campus Trees,0.402922,"12"
"1117",Healthy,47.9,,1.2,Real-time SBAS Corrected,2022/10/01,10:42:59am,Tagged_T,KH-TENNIS-1001.SSF,"12","12",K Campus Trees,0.550395,"13"
"1124",Healthy,64.8,,1.2,Real-time SBAS Corrected,2022/10/01,10:45:14am,Tagged_T,KH-TENNIS-1001.SSF,"11","11",K Campus Trees,0.246465,"14"
"1224",Healthy,48.7,,1.2,Real-time SBAS Corrected,2022/10/01,10:49:18am,Tagged_T,KH-TENNIS-1001.SSF,"11","11",K Campus Trees,0.210393,"15"
"1190",Healthy,27.6,,1.2,Real-time SBAS Corrected,2022/10/01,10:52:14am,Tagged_T,KH-TENNIS-1001.SSF,"10","10",K Campus Trees,0.328177,"16"
"9999",Some distress,74.7,humphrey house across academy from k sign,1.1,Real-time SBAS Corrected,2022/10/01,10:55:21am,Tagged_T,KH-TENNIS-1001.SSF,"13","13",K Campus Trees,0.393962,"17"
"9999",Healthy,45.0,"armored tree; front humphry; between blk locust",1.2,Real-time SBAS Corrected,2022/10/01,11:03:49am,Tagged_T,KH-TENNIS-1001.SSF,"25","25",K Campus Trees,0.317180,"18"
"9999",Extreme distress,75.9,"humphry front; right black locust from street",1.2,Real-time SBAS Corrected,2022/10/01,11:06:59am,Tagged_T,KH-TENNIS-1001.SSF,"18","18",K Campus Trees,0.424704,"19"
"9999",Healthy,68.1,"front humphry; 2nd tree on left of shrubbery",1.3,Real-time SBAS Corrected,2022/10/01,11:10:15am,Tagged_T,KH-TENNIS-1001.SSF,"34","34",K Campus Trees,0.607423,"20"
"9999",Healthy,88.5,"37.1 51.4; blck locust front humphry near firehyd",1.7,Real-time SBAS Corrected,2022/10/01,11:18:26am,Tagged_T,KH-TENNIS-1001.SSF,"28","28",K Campus Trees,0.495869,"21"
"1196",Extreme distress,136.7,35.4 38.4 24.6 38.3,1.5,Uncorrected,2022/10/01,11:22:16am,Tagged_T,KH-TENNIS-1001.SSF,"54","54",K Campus Trees,2.211139,"22"
"1219",Some distress,70.5,spongy moth nest,1.2,Real-time SBAS Corrected,2022/10/01,11:27:55am,Tagged_T,KH-TENNIS-1001.SSF,"26","26",K Campus Trees,1.068282,"23"
"1218",Healthy,88.2,,1.1,Real-time SBAS Corrected,2022/10/01,11:30:14am,Tagged_T,KH-TENNIS-1001.SSF,"11","11",K Campus Trees,0.504314,"24"
"1217",Healthy,53.8,,1.4,Real-time SBAS Corrected,2022/10/01,11:35:50am,Tagged_T,KH-TENNIS-1001.SSF,"10","10",K Campus Trees,0.981050,"25"
"1225",Healthy,54.4,,1.3,Real-time SBAS Corrected,2022/10/01,11:37:30am,Tagged_T,KH-TENNIS-1001.SSF,"14","14",K Campus Trees,0.237060,"26"
"9999",Healthy,71.3,behind Humphrey house Next to faculty parking sign,1.5,Real-time SBAS Corrected,2022/10/01,11:39:47am,Tagged_T,KH-TENNIS-1001.SSF,"30","30",K Campus Trees,0.288369,"27"
"1228",Healthy,37.6,,1.1,Real-time SBAS Corrected,2022/10/01,11:42:50am,Tagged_T,KH-TENNIS-1001.SSF,"10","10",K Campus Trees,0.143606,"28"
"1229",Healthy,55.6,,1.7,Real-time SBAS Corrected,2022/10/01,11:43:59am,Tagged_T,KH-TENNIS-1001.SSF,"22","22",K Campus Trees,0.390160,"29"
"1232",Healthy,55.8,,1.3,Real-time SBAS Corrected,2022/10/01,11:47:22am,Tagged_T,KH-TENNIS-1001.SSF,"12","12",K Campus Trees,0.613770,"30"
"1230",Healthy,43.4,,1.5,Real-time SBAS Corrected,2022/10/01,11:48:59am,Tagged_T,KH-TENNIS-1001.SSF,"11","11",K Campus Trees,0.291291,"31"
"1231",Healthy,45.9,,1.1,Real-time SBAS Corrected,2022/10/01,11:50:35am,Tagged_T,KH-TENNIS-1001.SSF,"26","26",K Campus Trees,0.318736,"32"
