Tag_Number,Hazard_Rat,DBH__cm_,Notes,Max_PDOP,Corr_Type,GPS_Date,GPS_Time,Feat_Name,Datafile,Unfilt_Pos,Filt_Pos,Data_Dicti,Std_Dev,Point_ID
"9999",Healthy,116.0,63.5 52.5,1.1,Real-time SBAS Corrected,2022/10/20,04:37:12pm,Tagged_T,KHCALL1019-AFT.SSF,"40","40",K Campus Trees,1.053492,"1"
"376",Healthy,25.0,,1.3,Real-time SBAS Corrected,2022/10/20,04:40:08pm,Tagged_T,KHCALL1019-AFT.SSF,"20","20",K Campus Trees,1.177197,"2"
"375",Healthy,41.3,,1.1,Real-time SBAS Corrected,2022/10/20,04:42:45pm,Tagged_T,KHCALL1019-AFT.SSF,"13","13",K Campus Trees,1.181480,"3"
"385",Healthy,70.7,,1.4,Real-time SBAS Corrected,2022/10/20,04:44:40pm,Tagged_T,KHCALL1019-AFT.SSF,"17","17",K Campus Trees,0.759953,"4"
"388",Healthy,8.8,,1.0,Real-time SBAS Corrected,2022/10/20,04:46:43pm,Tagged_T,KHCALL1019-AFT.SSF,"10","10",K Campus Trees,0.374034,"5"
"388",Healthy,92.8,,1.1,Real-time SBAS Corrected,2022/10/20,04:48:11pm,Tagged_T,KHCALL1019-AFT.SSF,"8","8",K Campus Trees,0.288316,"6"
"389",Healthy,61.2,,1.1,Real-time SBAS Corrected,2022/10/20,04:50:15pm,Tagged_T,KHCALL1019-AFT.SSF,"15","15",K Campus Trees,0.554828,"7"
"387",Healthy,34.5,6.7 5.8 3.7 3.4 3.9 6.8 5.0,1.1,Real-time SBAS Corrected,2022/10/20,04:52:15pm,Tagged_T,KHCALL1019-AFT.SSF,"34","34",K Campus Trees,2.210633,"8"
"390",Healthy,43.3,,1.0,Real-time SBAS Corrected,2022/10/20,04:54:57pm,Tagged_T,KHCALL1019-AFT.SSF,"12","12",K Campus Trees,0.670408,"9"
"360",Healthy,51.7,,1.2,Real-time SBAS Corrected,2022/10/20,04:56:50pm,Tagged_T,KHCALL1019-AFT.SSF,"15","15",K Campus Trees,0.315877,"10"
"357",Healthy,55.9,,1.4,Real-time SBAS Corrected,2022/10/20,04:58:27pm,Tagged_T,KHCALL1019-AFT.SSF,"15","15",K Campus Trees,0.680322,"11"
"356",Healthy,61.0,20.1 7.2 33.7,1.5,Real-time SBAS Corrected,2022/10/20,04:59:46pm,Tagged_T,KHCALL1019-AFT.SSF,"27","27",K Campus Trees,1.074980,"12"
"355",Healthy,43.8,,1.1,Real-time SBAS Corrected,2022/10/20,05:02:41pm,Tagged_T,KHCALL1019-AFT.SSF,"10","10",K Campus Trees,0.190987,"13"
"354",Healthy,19.1,,1.0,Real-time SBAS Corrected,2022/10/20,05:03:58pm,Tagged_T,KHCALL1019-AFT.SSF,"15","15",K Campus Trees,0.350282,"14"
"353",Healthy,49.9,,1.2,Real-time SBAS Corrected,2022/10/20,05:05:07pm,Tagged_T,KHCALL1019-AFT.SSF,"11","11",K Campus Trees,0.227343,"15"
"1141",Healthy,53.4,,1.8,Real-time SBAS Corrected,2022/10/20,05:06:41pm,Tagged_T,KHCALL1019-AFT.SSF,"13","13",K Campus Trees,0.530058,"16"
"1142",Healthy,21.4,,1.3,Real-time SBAS Corrected,2022/10/20,05:08:45pm,Tagged_T,KHCALL1019-AFT.SSF,"11","11",K Campus Trees,0.192578,"17"
"1143",Healthy,51.1,17.2 9.8 8.5 15.6,2.2,Uncorrected,2022/10/20,05:10:32pm,Tagged_T,KHCALL1019-AFT.SSF,"34","34",K Campus Trees,1.004296,"18"
"1144",Healthy,65.1,7.5 11.0 11.8 8.3 6.0 10.0 10.5,1.5,Uncorrected,2022/10/20,05:12:54pm,Tagged_T,KHCALL1019-AFT.SSF,"43","43",K Campus Trees,1.293590,"19"
"1145",Healthy,76.8,11 11.5 8.8 11.8 8.7 5.5 6 13.5,1.3,Uncorrected,2022/10/20,05:15:28pm,Tagged_T,KHCALL1019-AFT.SSF,"34","34",K Campus Trees,1.014610,"20"
"1148",Healthy,49.7,14.7 13 22,1.5,Uncorrected,2022/10/20,05:18:15pm,Tagged_T,KHCALL1019-AFT.SSF,"30","30",K Campus Trees,1.994648,"21"
"1147",Healthy,41.6,3.6 7.3 4 11.4 5.2 2.5 7.6,1.6,Uncorrected,2022/10/20,05:20:06pm,Tagged_T,KHCALL1019-AFT.SSF,"48","48",K Campus Trees,1.962979,"22"
"1148",Healthy,59.4,5.8 6.8 6.1 7.6 6.8 10 9.3 7,1.8,Uncorrected,2022/10/20,05:23:18pm,Tagged_T,KHCALL1019-AFT.SSF,"50","50",K Campus Trees,1.138065,"23"
"1149",Healthy,21.8,,1.4,Uncorrected,2022/10/20,05:26:18pm,Tagged_T,KHCALL1019-AFT.SSF,"14","14",K Campus Trees,0.408767,"24"
"1151",Healthy,17.9,,1.2,Real-time SBAS Corrected,2022/10/20,05:27:58pm,Tagged_T,KHCALL1019-AFT.SSF,"17","17",K Campus Trees,0.480567,"25"
"1152",Healthy,16.7,,1.5,Real-time SBAS Corrected,2022/10/20,05:29:51pm,Tagged_T,KHCALL1019-AFT.SSF,"15","15",K Campus Trees,0.558720,"26"
"9999",Healthy,4.7,new maple lib side academy,1.5,Real-time SBAS Corrected,2022/10/20,05:30:49pm,Tagged_T,KHCALL1019-AFT.SSF,"15","15",K Campus Trees,0.148758,"27"
"9999",Healthy,5.0,,1.2,Real-time SBAS Corrected,2022/10/20,05:31:52pm,Tagged_T,KHCALL1019-AFT.SSF,"11","11",K Campus Trees,0.192915,"28"
"1173",Healthy,46.6,,1.5,Real-time SBAS Corrected,2022/10/20,05:32:53pm,Tagged_T,KHCALL1019-AFT.SSF,"18","18",K Campus Trees,0.591722,"29"
"1172",Healthy,41.1,,1.1,Real-time SBAS Corrected,2022/10/20,05:34:29pm,Tagged_T,KHCALL1019-AFT.SSF,"11","11",K Campus Trees,0.368359,"30"
