Tag_Number,Hazard_Rat,DBH__cm_,Notes,Max_PDOP,Corr_Type,GPS_Date,GPS_Time,Feat_Name,Datafile,Unfilt_Pos,Filt_Pos,Data_Dicti,Std_Dev,Point_ID
"796",Some distress,76.1,,1.4,Real-time SBAS Corrected,2022/11/03,11:34:26am,Tagged_T,KIAH-1103.SSF,"11","11",K Campus Trees,0.586572,"1"
"797",Some distress,76.2,,1.6,Real-time SBAS Corrected,2022/11/03,11:36:02am,Tagged_T,KIAH-1103.SSF,"14","14",K Campus Trees,0.522740,"2"
"795",Some distress,79.3,,1.7,Real-time SBAS Corrected,2022/11/03,11:37:22am,Tagged_T,KIAH-1103.SSF,"11","11",K Campus Trees,1.081531,"3"
"794",Healthy,44.6,,1.3,Real-time SBAS Corrected,2022/11/03,11:39:04am,Tagged_T,KIAH-1103.SSF,"12","12",K Campus Trees,0.905415,"4"
"813",Healthy,71.8,,1.2,Real-time SBAS Corrected,2022/11/03,11:41:29am,Tagged_T,KIAH-1103.SSF,"16","16",K Campus Trees,0.306252,"5"
"812",Healthy,49.3,,1.4,Real-time SBAS Corrected,2022/11/03,11:43:28am,Tagged_T,KIAH-1103.SSF,"12","12",K Campus Trees,0.370113,"6"
"993",Healthy,9.3,,1.2,Real-time SBAS Corrected,2022/11/03,11:47:27am,Tagged_T,KIAH-1103.SSF,"11","11",K Campus Trees,0.462232,"7"
"802",Healthy,31.1,,1.2,Real-time SBAS Corrected,2022/11/03,11:49:25am,Tagged_T,KIAH-1103.SSF,"16","16",K Campus Trees,1.207656,"8"
"801",Healthy,46.3,,1.3,Real-time SBAS Corrected,2022/11/03,11:51:21am,Tagged_T,KIAH-1103.SSF,"11","11",K Campus Trees,0.609061,"9"
"764",Healthy,26.3,4.8 8.1 3.3 4.9 5.2,1.5,Uncorrected,2022/11/03,11:52:35am,Tagged_T,KIAH-1103.SSF,"36","36",K Campus Trees,0.899447,"10"
"765",Healthy,31.8,4.2 4.2 4.1 6.3 8.3 4.7,1.4,Uncorrected,2022/11/03,11:54:54am,Tagged_T,KIAH-1103.SSF,"48","48",K Campus Trees,4.573366,"11"
"766",Healthy,24.3,4.1 5.1 6.1 2.1 6.9,1.4,Uncorrected,2022/11/03,11:58:10am,Tagged_T,KIAH-1103.SSF,"30","30",K Campus Trees,2.319847,"12"
"767",Healthy,20.5,7.5 4 4.1 4.9,1.3,Uncorrected,2022/11/03,11:59:59am,Tagged_T,KIAH-1103.SSF,"32","32",K Campus Trees,1.533656,"13"
"809",Healthy,39.2,,1.1,Real-time SBAS Corrected,2022/11/03,12:02:12pm,Tagged_T,KIAH-1103.SSF,"14","14",K Campus Trees,2.210606,"14"
"810",Healthy,57.9,,1.2,Real-time SBAS Corrected,2022/11/03,12:04:09pm,Tagged_T,KIAH-1103.SSF,"14","14",K Campus Trees,0.793832,"15"
"803",Healthy,84.8,,1.2,Real-time SBAS Corrected,2022/11/03,12:05:50pm,Tagged_T,KIAH-1103.SSF,"10","10",K Campus Trees,0.432661,"16"
"804",Healthy,92.0,,1.1,Real-time SBAS Corrected,2022/11/03,12:06:48pm,Tagged_T,KIAH-1103.SSF,"14","14",K Campus Trees,0.987669,"17"
"803",Healthy,105.2,,1.1,Real-time SBAS Corrected,2022/11/03,12:08:45pm,Tagged_T,KIAH-1103.SSF,"18","18",K Campus Trees,0.913647,"18"
"807",Healthy,78.0,,1.2,Real-time SBAS Corrected,2022/11/03,12:10:08pm,Tagged_T,KIAH-1103.SSF,"17","17",K Campus Trees,0.559212,"19"
"768",Healthy,23.5,,1.6,Uncorrected,2022/11/03,12:12:09pm,Tagged_T,KIAH-1103.SSF,"25","25",K Campus Trees,1.203604,"20"
"806",Healthy,25.8,,1.2,Real-time SBAS Corrected,2022/11/03,12:14:43pm,Tagged_T,KIAH-1103.SSF,"10","10",K Campus Trees,0.729146,"21"
"805",Healthy,38.7,,1.4,Real-time SBAS Corrected,2022/11/03,12:16:30pm,Tagged_T,KIAH-1103.SSF,"15","15",K Campus Trees,0.927760,"22"
"816",Healthy,85.7,,1.4,Real-time SBAS Corrected,2022/11/03,12:19:58pm,Tagged_T,KIAH-1103.SSF,"18","18",K Campus Trees,0.410370,"23"
"814",Healthy,77.4,,1.1,Real-time SBAS Corrected,2022/11/03,12:21:27pm,Tagged_T,KIAH-1103.SSF,"11","11",K Campus Trees,1.089789,"24"
"815",Healthy,76.2,,1.5,Real-time SBAS Corrected,2022/11/03,12:24:12pm,Tagged_T,KIAH-1103.SSF,"12","12",K Campus Trees,0.652737,"25"
"820",Healthy,28.3,,1.4,Real-time SBAS Corrected,2022/11/03,12:25:50pm,Tagged_T,KIAH-1103.SSF,"10","10",K Campus Trees,2.513838,"26"
"817",Some distress,40.4,,1.5,Real-time SBAS Corrected,2022/11/03,12:27:30pm,Tagged_T,KIAH-1103.SSF,"29","29",K Campus Trees,0.885365,"27"
"992",Healthy,66.7,,1.1,Real-time SBAS Corrected,2022/11/03,12:29:41pm,Tagged_T,KIAH-1103.SSF,"21","21",K Campus Trees,0.403790,"28"
"991",Healthy,98.0,,1.2,Real-time SBAS Corrected,2022/11/03,12:31:50pm,Tagged_T,KIAH-1103.SSF,"17","17",K Campus Trees,2.104607,"29"
"854",Healthy,112.0,,1.3,Uncorrected,2022/11/03,12:33:32pm,Tagged_T,KIAH-1103.SSF,"15","15",K Campus Trees,0.564195,"30"
"846",Healthy,28.8,,1.2,Real-time SBAS Corrected,2022/11/03,12:37:04pm,Tagged_T,KIAH-1103.SSF,"11","11",K Campus Trees,0.650134,"31"
"845",Healthy,64.0,,1.4,Real-time SBAS Corrected,2022/11/03,12:38:22pm,Tagged_T,KIAH-1103.SSF,"11","11",K Campus Trees,0.208872,"32"
"847",Healthy,22.2,,1.1,Real-time SBAS Corrected,2022/11/03,12:40:32pm,Tagged_T,KIAH-1103.SSF,"11","11",K Campus Trees,0.394233,"33"
"844",Healthy,81.3,,1.4,Real-time SBAS Corrected,2022/11/03,12:41:42pm,Tagged_T,KIAH-1103.SSF,"14","14",K Campus Trees,0.594941,"34"
"843",Healthy,38.0,,1.2,Real-time SBAS Corrected,2022/11/03,12:42:55pm,Tagged_T,KIAH-1103.SSF,"11","11",K Campus Trees,0.434261,"35"
"851",Healthy,24.9,,1.5,Real-time SBAS Corrected,2022/11/03,12:43:59pm,Tagged_T,KIAH-1103.SSF,"18","18",K Campus Trees,0.671833,"36"
"850",Some distress,95.3,,1.3,Real-time SBAS Corrected,2022/11/03,12:45:10pm,Tagged_T,KIAH-1103.SSF,"13","13",K Campus Trees,0.951898,"37"
"849",Healthy,99.5,,1.5,Uncorrected,2022/11/03,12:46:55pm,Tagged_T,KIAH-1103.SSF,"17","17",K Campus Trees,0.987699,"38"
