Tag_Number,Hazard_Rat,DBH__cm_,Notes,Max_PDOP,Corr_Type,GPS_Date,GPS_Time,Feat_Name,Datafile,Unfilt_Pos,Filt_Pos,Data_Dicti,Std_Dev,Point_ID
"1255",Healthy,16.0,,1.3,Real-time SBAS Corrected,2022/11/10,11:20:23am,Tagged_T,KIAH1110.SSF,"13","13",K Campus Trees,1.482094,"1"
"1260",Some distress,51.0,,1.2,Real-time SBAS Corrected,2022/11/10,11:22:57am,Tagged_T,KIAH1110.SSF,"17","17",K Campus Trees,0.863308,"2"
"1262",Healthy,13.2,,1.0,Real-time SBAS Corrected,2022/11/10,11:24:58am,Tagged_T,KIAH1110.SSF,"20","20",K Campus Trees,0.522190,"3"
"1263",Some distress,36.7,,1.0,Real-time SBAS Corrected,2022/11/10,11:26:15am,Tagged_T,KIAH1110.SSF,"18","18",K Campus Trees,0.185861,"4"
"1264",Healthy,14.9,7.5 4.6 2.8,1.0,Real-time SBAS Corrected,2022/11/10,11:27:55am,Tagged_T,KIAH1110.SSF,"31","31",K Campus Trees,0.878591,"5"
"1280",Extreme distress,33.4,,1.1,Real-time SBAS Corrected,2022/11/10,11:30:17am,Tagged_T,KIAH1110.SSF,"12","12",K Campus Trees,0.661546,"6"
"9999",Healthy,49.6,,1.1,Real-time SBAS Corrected,2022/11/10,11:32:08am,Tagged_T,KIAH1110.SSF,"11","11",K Campus Trees,0.257099,"7"
"1246",Healthy,19.5,,1.2,Real-time SBAS Corrected,2022/11/10,11:33:54am,Tagged_T,KIAH1110.SSF,"14","14",K Campus Trees,0.345039,"8"
"1245",Healthy,50.0,,1.2,Real-time SBAS Corrected,2022/11/10,11:34:54am,Tagged_T,KIAH1110.SSF,"20","20",K Campus Trees,0.980931,"9"
"1244",Healthy,52.0,,1.2,Real-time SBAS Corrected,2022/11/10,11:36:18am,Tagged_T,KIAH1110.SSF,"17","17",K Campus Trees,1.912708,"10"
"1243",Healthy,43.8,,1.4,Real-time SBAS Corrected,2022/11/10,11:37:50am,Tagged_T,KIAH1110.SSF,"13","13",K Campus Trees,0.804949,"11"
"1274",Healthy,39.2,,1.3,Real-time SBAS Corrected,2022/11/10,11:39:28am,Tagged_T,KIAH1110.SSF,"16","16",K Campus Trees,0.743810,"12"
"1273",Some distress,44.7,,1.3,Real-time SBAS Corrected,2022/11/10,11:40:32am,Tagged_T,KIAH1110.SSF,"18","18",K Campus Trees,3.212428,"13"
"1276",Healthy,85.5,,1.4,Real-time SBAS Corrected,2022/11/10,11:43:57am,Tagged_T,KIAH1110.SSF,"14","14",K Campus Trees,0.346464,"14"
"1275",Extreme distress,94.6,,1.1,Real-time SBAS Corrected,2022/11/10,11:44:58am,Tagged_T,KIAH1110.SSF,"20","20",K Campus Trees,0.586109,"15"
"1287",Healthy,18.4,,1.3,Real-time SBAS Corrected,2022/11/10,11:46:36am,Tagged_T,KIAH1110.SSF,"13","13",K Campus Trees,0.864626,"16"
"1286",Healthy,27.8,,1.3,Real-time SBAS Corrected,2022/11/10,11:47:34am,Tagged_T,KIAH1110.SSF,"15","15",K Campus Trees,0.786100,"17"
"1284",Healthy,29.2,,1.1,Real-time SBAS Corrected,2022/11/10,11:48:54am,Tagged_T,KIAH1110.SSF,"11","11",K Campus Trees,0.891698,"18"
"1285",Healthy,61.8,,1.4,Real-time SBAS Corrected,2022/11/10,11:51:01am,Tagged_T,KIAH1110.SSF,"11","11",K Campus Trees,1.150251,"19"
"1283",Some distress,42.0,,1.0,Real-time SBAS Corrected,2022/11/10,11:51:58am,Tagged_T,KIAH1110.SSF,"10","10",K Campus Trees,0.603058,"20"
"1282",Healthy,58.5,,1.0,Real-time SBAS Corrected,2022/11/10,11:52:56am,Tagged_T,KIAH1110.SSF,"19","19",K Campus Trees,0.856433,"21"
"1279",Healthy,113.8,68.3 45.5,2.3,Real-time SBAS Corrected,2022/11/10,11:54:14am,Tagged_T,KIAH1110.SSF,"43","43",K Campus Trees,2.964085,"22"
"9999",Some distress,76.7,34.2 42.5,1.3,Real-time SBAS Corrected,2022/11/10,11:57:16am,Tagged_T,KIAH1110.SSF,"32","32",K Campus Trees,1.746835,"23"
"1266",Healthy,57.3,,1.0,Real-time SBAS Corrected,2022/11/10,12:00:36pm,Tagged_T,KIAH1110.SSF,"12","12",K Campus Trees,0.516313,"24"
"1267",Healthy,21.7,,1.2,Uncorrected,2022/11/10,12:02:30pm,Tagged_T,KIAH1110.SSF,"11","11",K Campus Trees,0.427790,"25"
"1269",Healthy,40.2,14.7 12 13.5,1.3,Uncorrected,2022/11/10,12:03:24pm,Tagged_T,KIAH1110.SSF,"40","40",K Campus Trees,1.996261,"26"
"1268",Healthy,35.6,,1.3,Real-time SBAS Corrected,2022/11/10,12:06:39pm,Tagged_T,KIAH1110.SSF,"13","13",K Campus Trees,0.585344,"27"
"1270",Healthy,40.8,,1.5,Uncorrected,2022/11/10,12:07:59pm,Tagged_T,KIAH1110.SSF,"28","28",K Campus Trees,1.075168,"28"
"1271",Healthy,55.6,11.2 10.9 21.3 12.2,1.3,Real-time SBAS Corrected,2022/11/10,12:09:47pm,Tagged_T,KIAH1110.SSF,"42","42",K Campus Trees,1.215834,"29"
"1272",Healthy,51.1,,1.3,Uncorrected,2022/11/10,12:12:58pm,Tagged_T,KIAH1110.SSF,"20","20",K Campus Trees,0.519017,"30"
"9999",Healthy,40.3,,1.1,Real-time SBAS Corrected,2022/11/10,12:14:53pm,Tagged_T,KIAH1110.SSF,"10","10",K Campus Trees,0.290867,"31"
"9999",Some distress,61.2,,1.1,Real-time SBAS Corrected,2022/11/10,12:16:06pm,Tagged_T,KIAH1110.SSF,"13","13",K Campus Trees,0.087360,"32"
"1300",Healthy,73.0,10.3 8.9 17.1 26.3 10.5,1.7,Uncorrected,2022/11/10,01:28:05pm,Tagged_T,KIAH1110.SSF,"58","58",K Campus Trees,0.689452,"33"
"1297",Healthy,19.8,,1.1,Real-time SBAS Corrected,2022/11/10,01:31:43pm,Tagged_T,KIAH1110.SSF,"33","33",K Campus Trees,0.256045,"34"
"1296",Healthy,16.4,6.2 2.8 4.2 3.2,1.3,Real-time SBAS Corrected,2022/11/10,01:33:40pm,Tagged_T,KIAH1110.SSF,"53","53",K Campus Trees,0.551829,"35"
"1337",Healthy,87.0,24 27.2 35.8,1.1,Real-time SBAS Corrected,2022/11/10,01:39:00pm,Tagged_T,KIAH1110.SSF,"33","33",K Campus Trees,0.505528,"36"
"1336",Healthy,58.5,22.2 19.6 16.7,1.3,Real-time SBAS Corrected,2022/11/10,01:40:51pm,Tagged_T,KIAH1110.SSF,"36","36",K Campus Trees,0.563497,"37"
"1334",Some distress,11.8,,1.0,Real-time SBAS Corrected,2022/11/10,01:43:30pm,Tagged_T,KIAH1110.SSF,"21","21",K Campus Trees,0.313658,"38"
"1333",Healthy,7.2,,1.0,Real-time SBAS Corrected,2022/11/10,01:45:06pm,Tagged_T,KIAH1110.SSF,"18","18",K Campus Trees,0.643095,"39"
"1332",Healthy,12.9,,1.0,Real-time SBAS Corrected,2022/11/10,01:46:20pm,Tagged_T,KIAH1110.SSF,"14","14",K Campus Trees,0.412808,"40"
"1331",Healthy,15.3,,1.0,Real-time SBAS Corrected,2022/11/10,01:48:00pm,Tagged_T,KIAH1110.SSF,"10","10",K Campus Trees,0.611400,"41"
"1330",Healthy,16.3,,1.0,Real-time SBAS Corrected,2022/11/10,01:49:22pm,Tagged_T,KIAH1110.SSF,"21","21",K Campus Trees,0.493706,"42"
"1329",Healthy,14.6,,1.0,Real-time SBAS Corrected,2022/11/10,01:51:06pm,Tagged_T,KIAH1110.SSF,"26","26",K Campus Trees,1.546119,"43"
"1328",Healthy,18.9,,1.0,Real-time SBAS Corrected,2022/11/10,01:53:40pm,Tagged_T,KIAH1110.SSF,"10","10",K Campus Trees,0.563777,"44"
"1293",Healthy,13.0,,1.0,Real-time SBAS Corrected,2022/11/10,01:54:55pm,Tagged_T,KIAH1110.SSF,"16","16",K Campus Trees,0.291241,"45"
"1323",Healthy,35.8,,1.0,Real-time SBAS Corrected,2022/11/10,01:56:23pm,Tagged_T,KIAH1110.SSF,"14","14",K Campus Trees,0.395153,"46"
"1326",Healthy,16.4,,1.0,Real-time SBAS Corrected,2022/11/10,01:57:58pm,Tagged_T,KIAH1110.SSF,"11","11",K Campus Trees,0.507738,"47"
"1322",Healthy,53.5,,1.0,Real-time SBAS Corrected,2022/11/10,01:59:06pm,Tagged_T,KIAH1110.SSF,"13","13",K Campus Trees,0.468749,"48"
"1321",Healthy,50.0,,1.0,Real-time SBAS Corrected,2022/11/10,02:00:07pm,Tagged_T,KIAH1110.SSF,"10","10",K Campus Trees,0.895760,"49"
"1324",Some distress,14.2,,1.1,Real-time SBAS Corrected,2022/11/10,02:01:01pm,Tagged_T,KIAH1110.SSF,"11","11",K Campus Trees,1.076294,"50"
"1320",Healthy,42.8,,1.1,Real-time SBAS Corrected,2022/11/10,02:02:12pm,Tagged_T,KIAH1110.SSF,"11","11",K Campus Trees,0.795086,"51"
"1319",Healthy,13.3,,1.3,Real-time SBAS Corrected,2022/11/10,02:03:24pm,Tagged_T,KIAH1110.SSF,"11","11",K Campus Trees,0.800361,"52"
"1317",Healthy,64.7,,1.0,Real-time SBAS Corrected,2022/11/10,02:05:57pm,Tagged_T,KIAH1110.SSF,"23","23",K Campus Trees,1.082764,"53"
"1316",Healthy,54.3,,1.0,Real-time SBAS Corrected,2022/11/10,02:07:54pm,Tagged_T,KIAH1110.SSF,"22","22",K Campus Trees,0.423683,"54"
"9999",Healthy,73.6,,1.0,Real-time SBAS Corrected,2022/11/10,02:09:24pm,Tagged_T,KIAH1110.SSF,"28","28",K Campus Trees,0.943688,"55"
"1314",Healthy,28.5,17.6 3 4.7 3.2,1.0,Real-time SBAS Corrected,2022/11/10,02:11:09pm,Tagged_T,KIAH1110.SSF,"36","36",K Campus Trees,0.489687,"56"
"1313",Healthy,35.6,,1.0,Real-time SBAS Corrected,2022/11/10,02:13:27pm,Tagged_T,KIAH1110.SSF,"33","33",K Campus Trees,0.335937,"57"
"1312",Healthy,21.2,,1.0,Real-time SBAS Corrected,2022/11/10,02:15:32pm,Tagged_T,KIAH1110.SSF,"10","10",K Campus Trees,0.276989,"58"
"1311",Healthy,17.5,,1.0,Real-time SBAS Corrected,2022/11/10,02:16:18pm,Tagged_T,KIAH1110.SSF,"11","11",K Campus Trees,0.213928,"59"
"9999",Healthy,37.5,,1.0,Real-time SBAS Corrected,2022/11/10,02:18:04pm,Tagged_T,KIAH1110.SSF,"11","11",K Campus Trees,0.662649,"60"
"9999",Healthy,32.0,,1.1,Real-time SBAS Corrected,2022/11/10,02:19:05pm,Tagged_T,KIAH1110.SSF,"10","10",K Campus Trees,0.443516,"61"
"1341",Healthy,37.2,,1.1,Real-time SBAS Corrected,2022/11/10,02:19:54pm,Tagged_T,KIAH1110.SSF,"11","11",K Campus Trees,1.061293,"62"
"1342",Healthy,33.0,,1.1,Real-time SBAS Corrected,2022/11/10,02:20:56pm,Tagged_T,KIAH1110.SSF,"10","10",K Campus Trees,0.906837,"63"
"1343",Healthy,46.5,,1.3,Real-time SBAS Corrected,2022/11/10,02:21:38pm,Tagged_T,KIAH1110.SSF,"11","11",K Campus Trees,1.431500,"64"
"9999",Extreme distress,23.1,,1.2,Real-time SBAS Corrected,2022/11/10,02:22:26pm,Tagged_T,KIAH1110.SSF,"15","15",K Campus Trees,0.746335,"65"
"1345",Extreme distress,23.7,,1.3,Real-time SBAS Corrected,2022/11/10,02:23:37pm,Tagged_T,KIAH1110.SSF,"11","11",K Campus Trees,0.588560,"66"
"9999",Some distress,10.4,,1.4,Real-time SBAS Corrected,2022/11/10,02:24:37pm,Tagged_T,KIAH1110.SSF,"16","16",K Campus Trees,1.571159,"67"
"9999",Healthy,22.1,,1.7,Real-time SBAS Corrected,2022/11/10,02:25:58pm,Tagged_T,KIAH1110.SSF,"25","25",K Campus Trees,0.877340,"68"
"836",Healthy,41.9,,1.1,Real-time SBAS Corrected,2022/11/10,02:27:52pm,Tagged_T,KIAH1110.SSF,"26","26",K Campus Trees,0.727383,"69"
"835",Healthy,54.5,,1.2,Uncorrected,2022/11/10,02:29:34pm,Tagged_T,KIAH1110.SSF,"29","29",K Campus Trees,0.702594,"70"
"834",Healthy,36.9,,1.0,Real-time SBAS Corrected,2022/11/10,02:31:24pm,Tagged_T,KIAH1110.SSF,"32","32",K Campus Trees,0.595645,"71"
"832",Healthy,30.5,,1.1,Real-time SBAS Corrected,2022/11/10,02:33:15pm,Tagged_T,KIAH1110.SSF,"12","12",K Campus Trees,0.384810,"72"
"831",Healthy,42.8,,1.1,Real-time SBAS Corrected,2022/11/10,02:34:01pm,Tagged_T,KIAH1110.SSF,"12","12",K Campus Trees,0.938453,"73"
"9999",Healthy,82.4,,1.0,Real-time SBAS Corrected,2022/11/10,02:34:58pm,Tagged_T,KIAH1110.SSF,"17","17",K Campus Trees,1.088421,"74"
"830",Healthy,40.7,,1.1,Real-time SBAS Corrected,2022/11/10,02:36:02pm,Tagged_T,KIAH1110.SSF,"10","10",K Campus Trees,1.164674,"75"
"829",Healthy,43.0,,1.1,Real-time SBAS Corrected,2022/11/10,02:36:49pm,Tagged_T,KIAH1110.SSF,"11","11",K Campus Trees,1.215790,"76"
"828",Healthy,42.3,,1.1,Uncorrected,2022/11/10,02:37:30pm,Tagged_T,KIAH1110.SSF,"10","10",K Campus Trees,0.661742,"77"
"827",Some distress,45.8,,1.1,Uncorrected,2022/11/10,02:38:27pm,Tagged_T,KIAH1110.SSF,"20","20",K Campus Trees,1.199674,"78"
"825",Healthy,45.2,,1.3,Real-time SBAS Corrected,2022/11/10,02:40:37pm,Tagged_T,KIAH1110.SSF,"38","38",K Campus Trees,1.090384,"79"
"823",Healthy,30.4,,1.1,Real-time SBAS Corrected,2022/11/10,02:43:29pm,Tagged_T,KIAH1110.SSF,"13","13",K Campus Trees,0.335854,"80"
"822",Healthy,59.4,,1.1,Real-time SBAS Corrected,2022/11/10,02:44:58pm,Tagged_T,KIAH1110.SSF,"12","12",K Campus Trees,0.546673,"81"
