Tag_Number,Hazard_Rat,DBH__cm_,Notes,Max_PDOP,Corr_Type,GPS_Date,GPS_Time,Feat_Name,Datafile,Unfilt_Pos,Filt_Pos,Data_Dicti,Std_Dev,Point_ID
"320",Healthy,21.0,14.3 12.4 4.3,1.4,Uncorrected,2022/10/24,03:55:30pm,Tagged_T,KIAHNM-1024.SSF,"21","21",K Campus Trees,0.487229,"1"
"319",Healthy,37.4,13 10.8 13.6,1.3,Real-time SBAS Corrected,2022/10/24,03:57:42pm,Tagged_T,KIAHNM-1024.SSF,"17","17",K Campus Trees,1.436304,"2"
"318",Healthy,46.3,8.4 13.5 11.9 7.8 4.7,1.1,Real-time SBAS Corrected,2022/10/24,03:59:46pm,Tagged_T,KIAHNM-1024.SSF,"47","47",K Campus Trees,1.519984,"3"
"509",Healthy,21.1,,1.2,Real-time SBAS Corrected,2022/10/24,04:03:31pm,Tagged_T,KIAHNM-1024.SSF,"15","15",K Campus Trees,0.457385,"4"
"508",Healthy,67.7,,1.4,Real-time SBAS Corrected,2022/10/24,04:05:29pm,Tagged_T,KIAHNM-1024.SSF,"11","11",K Campus Trees,0.570408,"5"
"507",Healthy,36.0,,1.2,Real-time SBAS Corrected,2022/10/24,04:06:18pm,Tagged_T,KIAHNM-1024.SSF,"13","13",K Campus Trees,1.155728,"6"
"506",Some distress,45.0,,1.3,Real-time SBAS Corrected,2022/10/24,04:08:22pm,Tagged_T,KIAHNM-1024.SSF,"11","11",K Campus Trees,0.314900,"7"
"505",Some distress,37.9,spong moth,1.2,Real-time SBAS Corrected,2022/10/24,04:09:29pm,Tagged_T,KIAHNM-1024.SSF,"21","21",K Campus Trees,0.775275,"8"
"504",Healthy,78.1,,1.4,Real-time SBAS Corrected,2022/10/24,04:13:03pm,Tagged_T,KIAHNM-1024.SSF,"13","13",K Campus Trees,1.013927,"9"
"503",Some distress,44.0,,1.3,Real-time SBAS Corrected,2022/10/24,04:14:32pm,Tagged_T,KIAHNM-1024.SSF,"11","11",K Campus Trees,1.621181,"10"
"502",Some distress,65.2,lot of spong moth,1.3,Real-time SBAS Corrected,2022/10/24,04:16:05pm,Tagged_T,KIAHNM-1024.SSF,"12","12",K Campus Trees,1.968334,"11"
"501",Extreme distress,31.0,,1.6,Real-time SBAS Corrected,2022/10/24,04:17:22pm,Tagged_T,KIAHNM-1024.SSF,"11","11",K Campus Trees,0.638533,"12"
"513",Healthy,47.5,,1.1,Real-time SBAS Corrected,2022/10/24,04:19:34pm,Tagged_T,KIAHNM-1024.SSF,"10","10",K Campus Trees,0.684690,"13"
"512",Healthy,43.1,,1.1,Real-time SBAS Corrected,2022/10/24,04:20:53pm,Tagged_T,KIAHNM-1024.SSF,"11","11",K Campus Trees,0.600881,"14"
"510",Healthy,33.9,,1.0,Real-time SBAS Corrected,2022/10/24,04:21:54pm,Tagged_T,KIAHNM-1024.SSF,"11","11",K Campus Trees,0.634223,"15"
"511",Healthy,57.1,,1.1,Real-time SBAS Corrected,2022/10/24,04:23:16pm,Tagged_T,KIAHNM-1024.SSF,"11","11",K Campus Trees,1.928313,"16"
"514",Healthy,37.1,,1.3,Real-time SBAS Corrected,2022/10/24,04:24:18pm,Tagged_T,KIAHNM-1024.SSF,"10","10",K Campus Trees,0.439752,"17"
"515",Healthy,28.6,,1.1,Real-time SBAS Corrected,2022/10/24,04:24:58pm,Tagged_T,KIAHNM-1024.SSF,"12","12",K Campus Trees,1.159310,"18"
"516",Healthy,24.2,,1.1,Real-time SBAS Corrected,2022/10/24,04:26:08pm,Tagged_T,KIAHNM-1024.SSF,"13","13",K Campus Trees,0.664045,"19"
