Tag_Number,Hazard_Rat,DBH_2022,Notes,Max_PDOP,Corr_Type,GPS_Date,GPS_Time,Feat_Name,Datafile,Unfilt_Pos,Filt_Pos,Data_Dicti,Std_Dev,Point_ID,layer,path,TagNumber,Species Co,LatinName,Species _1,DBH_2019,Azimuth,Dist to Bu,Buil Vinta,Sun,Hazard
"1070",Healthy,46.0,,2.4,Uncorrected,2022-09-28,10:50:51am,Tagged_T,KH-928-FAB.SSF,"31","31",K Campus Trees,0.206596,"1",CampusTrees-928-FAB,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-928-FAB.shp,"1070",PLOC,Platanus occidentalis,American Sycamore,44.700000000000003,"180","21",,Sun,"0"
"1071",Healthy,35.3,,2.2,Real-time SBAS Corrected,2022-09-28,10:52:16am,Tagged_T,KH-928-FAB.SSF,"12","12",K Campus Trees,0.670480,"2",CampusTrees-928-FAB,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-928-FAB.shp,"1071",PLOC,Platanus occidentalis,American Sycamore,34.500000000000000,"180","21",,Sun,"0"
"1072",Healthy,34.6,,1.5,Real-time SBAS Corrected,2022-09-28,10:54:04am,Tagged_T,KH-928-FAB.SSF,"18","18",K Campus Trees,0.262271,"3",CampusTrees-928-FAB,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-928-FAB.shp,"1072",PLOC,Platanus occidentalis,American Sycamore,34.299999999999997,"180","21",,Sun,"0"
"1073",Healthy,33.6,,1.3,Real-time SBAS Corrected,2022-09-28,10:56:21am,Tagged_T,KH-928-FAB.SSF,"12","12",K Campus Trees,0.337581,"4",CampusTrees-928-FAB,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-928-FAB.shp,"1073",PLOC,Platanus occidentalis,American Sycamore,32.000000000000000,"360","21",,Sun,"0"
"1086",Healthy,31.8,5.7 5.4 4.5 4.8 4.4 3.8 3.6,2.1,Real-time SBAS Corrected,2022-09-28,11:00:12am,Tagged_T,KH-928-FAB.SSF,"41","41",K Campus Trees,0.797988,"5",CampusTrees-928-FAB,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-928-FAB.shp,"1086",MA33,Malus spp.,Crab Apple,19.199999999999999,"270","4",1950-1980,Partial,"0"
"1090",Some distress,22.8,"10.5 4.8 7.5; limb dmg",2.0,Real-time SBAS Corrected,2022-09-28,11:03:42am,Tagged_T,KH-928-FAB.SSF,"39","39",K Campus Trees,0.353004,"6",CampusTrees-928-FAB,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-928-FAB.shp,"1090",COKO,Cornus kousa,Kousa Dogwood,22.899999999999999,"270","4",1950-1980,Sun,"0"
"1092",Some distress,16.2,7.7 3.2 1.8 3.5,1.8,Real-time SBAS Corrected,2022-09-28,11:06:46am,Tagged_T,KH-928-FAB.SSF,"30","30",K Campus Trees,0.074067,"7",CampusTrees-928-FAB,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-928-FAB.shp,"1092",COKO,Cornus kousa,Kousa Dogwood,21.199999999999999,"270","4",1950-1980,Partial,"0"
"1093",Healthy,54.6,18.8 17.6 18.2,1.7,Real-time SBAS Corrected,2022-09-28,11:09:29am,Tagged_T,KH-928-FAB.SSF,"46","46",K Campus Trees,0.719489,"8",CampusTrees-928-FAB,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-928-FAB.shp,"1093",MA34,Malus spp.,Crab Apple,46.399999999999999,"270","4",1950-1980,Partial,"0"
"1094",Healthy,54.5,13.5 13.5 13.2 14.3,3.3,Real-time SBAS Corrected,2022-09-28,11:12:48am,Tagged_T,KH-928-FAB.SSF,"44","44",K Campus Trees,1.037430,"9",CampusTrees-928-FAB,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-928-FAB.shp,"1094",CRDO,Crataegus douglasii,Black Hawthorne,47.299999999999997,"270","4",1950-1980,Partial,"1"
"1095",Healthy,58.7,pull tag out,1.3,Real-time SBAS Corrected,2022-09-28,11:16:20am,Tagged_T,KH-928-FAB.SSF,"18","18",K Campus Trees,0.266652,"10",CampusTrees-928-FAB,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-928-FAB.shp,"1095",QUAL,Quercus alba,White Oak,54.500000000000000,"270","10",1950-1980,Sun,"0"
