GPS_ID,Tag_Number,Max_PDOP,Corr_Type,GPS_Date,GPS_Time,Unfilt_Pos,Filt_Pos,Std_Dev,Point_ID
0,1070,2.4,Uncorrected,9/28/2022,10:50:51am,31,31,0.206596,1
1,1071,2.2,Real-time SBAS Corrected,9/28/2022,10:52:16am,12,12,0.67048,2
2,1072,1.5,Real-time SBAS Corrected,9/28/2022,10:54:04am,18,18,0.262271,3
3,1073,1.3,Real-time SBAS Corrected,9/28/2022,10:56:21am,12,12,0.337581,4
4,1086,2.1,Real-time SBAS Corrected,9/28/2022,11:00:12am,41,41,0.797988,5
5,1090,2,Real-time SBAS Corrected,9/28/2022,11:03:42am,39,39,0.353004,6
6,1092,1.8,Real-time SBAS Corrected,9/28/2022,11:06:46am,30,30,0.074067,7
7,1093,1.7,Real-time SBAS Corrected,9/28/2022,11:09:29am,46,46,0.719489,8
8,1094,3.3,Real-time SBAS Corrected,9/28/2022,11:12:48am,44,44,1.03743,9
9,1095,1.3,Real-time SBAS Corrected,9/28/2022,11:16:20am,18,18,0.266652,10
10,1096,1.4,Real-time SBAS Corrected,9/28/2022,11:18:23am,19,19,0.301117,11
11,1135,1.4,Real-time SBAS Corrected,9/28/2022,11:22:36am,17,17,0.449951,12
12,9999,1.5,Real-time SBAS Corrected,9/28/2022,11:25:10am,17,17,0.324687,13
13,9999,1.2,Real-time SBAS Corrected,9/28/2022,11:27:25am,17,17,0.736489,14
14,1097,1.3,Uncorrected,9/28/2022,11:29:36am,14,14,0.492826,15
15,1099,1.1,Real-time SBAS Corrected,9/28/2022,11:31:08am,28,28,0.223669,16
16,1098,1.6,Real-time SBAS Corrected,9/28/2022,11:34:07am,25,25,0.581243,17
17,1100,1.3,Real-time SBAS Corrected,9/28/2022,11:36:58am,33,33,0.482405,18
18,1101,1.5,Real-time SBAS Corrected,9/28/2022,11:39:17am,24,24,0.426013,19
19,1134,3.3,Real-time SBAS Corrected,9/28/2022,11:41:38am,27,27,1.426646,20
20,1127,1.4,Real-time SBAS Corrected,9/28/2022,11:44:13am,10,10,0.127048,21
21,1126,1.3,Real-time SBAS Corrected,9/28/2022,11:47:21am,17,17,0.518679,22
22,1133,1.1,Real-time SBAS Corrected,9/28/2022,11:49:35am,22,22,0.547128,23
23,1131,1.6,Real-time SBAS Corrected,9/28/2022,11:52:33am,14,14,0.608347,24
24,1132,1.1,Real-time SBAS Corrected,9/28/2022,11:55:10am,12,12,0.743563,25
25,1130,1.3,Real-time SBAS Corrected,9/28/2022,11:57:14am,15,15,0.149338,26
26,1085,1.8,Uncorrected,9/23/2022,12:55:21pm,14,14,0.207174,1
27,1084,1.4,Real-time SBAS Corrected,9/23/2022,01:00:08pm,19,19,0.719921,2
