hist_id,tree_id,tag_number,hazard_rating,DBH,notes,year
0,0,1070,Healthy,46,,2022
1,1,1071,Healthy,35.3,,2022
2,2,1072,Healthy,34.6,,2022
3,3,1073,Healthy,33.6,,2022
4,4,1086,Healthy,31.8,5.7 5.4 4.5 4.8 4.4 3.8 3.6,2022
5,5,1090,Some distress,22.8,10.5 4.8 7.5; limb dmg,2022
6,6,1092,Some distress,16.2,7.7 3.2 1.8 3.5,2022
7,7,1093,Healthy,54.6,18.8 17.6 18.2,2022
8,8,1094,Healthy,54.5,13.5 13.5 13.2 14.3,2022
9,9,1095,Healthy,58.7,pull tag out,2022
10,10,1096,Healthy,34.7,,2022
11,11,1135,Some distress,43.6,spongy moth nesting,2022
12,12,,Some distress,50.1,fab sculpt front; base rot,2022
13,13,,Healthy,35.4,"acadmy st, fab side stair",2022
14,14,1097,Healthy,60.1,pull tag out,2022
15,15,1099,Some distress,23.7,base rot,2022
16,16,1098,Healthy,36.9,15.3 9.8 11.8,2022
17,17,1100,Some distress,31.1,16.2 8.6 6.3,2022
18,18,1101,Healthy,48.7,20 28.7,2022
19,19,1134,Some distress,52.9,,2022
20,20,1127,Healthy,68.1,,2022
21,21,1126,Healthy,29.8,20.5 9.3,2022
22,22,1133,Healthy,33.6,,2022
23,23,1131,Extreme distress,67.6,,2022
24,24,1132,Healthy,57,,2022
25,25,1130,Healthy,28.9,,2022
26,26,1085,Healthy,29.5,,2022
27,27,1084,Healthy,21.8,,2022
28,28,1083,Extreme distress,12.6,,2022
29,29,1080,Healthy,27.7,,2022
30,30,1081,Healthy,21.6,,2022
31,31,1079,Healthy,25.4,,2022
32,32,1082,Healthy,27.9,,2022
33,33,1078,Healthy,28.5,,2022
34,34,1077,Healthy,23.4,,2022
35,35,1076,Some distress,12.1,,2022
36,36,1075,Healthy,26.4,,2022
37,37,1002,Healthy,23.8,,2022
38,38,1001,Healthy,20.9,,2022
39,39,1003,Healthy,24.5,,2022
40,40,1004,Healthy,26.6,,2022
41,41,1005,Healthy,27.1,,2022
42,42,1006,Healthy,32.8,,2022
43,43,1007,Healthy,18.9,,2022
44,44,1008,Healthy,54.2,mult trunk 11.9 11.7 9.8 10.2 10.6,2022
45,45,1011,Some distress,20.1,4.9 6.6 8.6 mult stem,2022
46,46,1012,Some distress,18.3,,2022
47,47,1013,Healthy,29,spongy moth egg cases,2022
48,48,1014,Healthy,74.1,6.6 7.6 8.7 11.8 18.5 8.4 12.5,2022
49,49,1019,Healthy,24.3,10.4 15.5 8.4,2022
50,50,,Healthy,116,63.5 52.5,2022
51,51,376,Healthy,25,,2022
52,52,375,Healthy,41.3,,2022
53,53,385,Healthy,70.7,,2022
54,54,388,Healthy,8.8,,2022
55,55,388,Healthy,92.8,,2022
56,56,389,Healthy,61.2,,2022
57,57,387,Healthy,34.5,6.7 5.8 3.7 3.4 3.9 6.8 5.0,2022
58,58,390,Healthy,43.3,,2022
59,59,360,Healthy,51.7,,2022
60,60,357,Healthy,55.9,,2022
61,61,356,Healthy,61,20.1 7.2 33.7,2022
62,62,355,Healthy,43.8,,2022
63,63,354,Healthy,19.1,,2022
64,64,353,Healthy,49.9,,2022
65,65,1141,Healthy,53.4,,2022
66,66,1142,Healthy,21.4,,2022
67,67,1143,Healthy,51.1,17.2 9.8 8.5 15.6,2022
68,68,1144,Healthy,65.1,7.5 11.0 11.8 8.3 6.0 10.0 10.5,2022
69,69,1145,Healthy,76.8,11 11.5 8.8 11.8 8.7 5.5 6 13.5,2022
70,70,1148,Healthy,49.7,14.7 13 22,2022
71,71,1147,Healthy,41.6,3.6 7.3 4 11.4 5.2 2.5 7.6,2022
72,72,1148,Healthy,59.4,5.8 6.8 6.1 7.6 6.8 10 9.3 7,2022
73,73,1149,Healthy,21.8,,2022
74,74,1151,Healthy,17.9,,2022
75,75,1152,Healthy,16.7,,2022
76,76,,Healthy,4.7,new maple lib side academy,2022
77,77,,Healthy,5,,2022
78,78,1173,Healthy,46.6,,2022
79,79,1172,Healthy,41.1,,2022
80,80,1104,Healthy,5.6,,2022
81,81,1105,Healthy,5.9,,2022
82,82,1106,Healthy,5,,2022
83,83,1107,Healthy,4.7,,2022
84,84,1115,Some distress,38.5,,2022
85,85,1120,Extreme distress,29.3,,2022
86,86,1121,Healthy,40.5,,2022
87,87,1122,Healthy,60.4,,2022
88,88,1123,,63.5,,2022
89,89,1125,Healthy,21.4,,2022
90,90,1119,Healthy,55,26.4 28.6,2022
91,91,1118,Healthy,43.7,,2022
92,92,1117,Healthy,47.9,,2022
93,93,1124,Healthy,64.8,,2022
94,94,1224,Healthy,48.7,,2022
95,95,1190,Healthy,27.6,,2022
96,96,,Some distress,74.7,humphrey house across academy from k sign,2022
97,97,,Healthy,45,armored tree; front humphry; between blk locust,2022
98,98,,Extreme distress,75.9,humphry front; right black locust from street,2022
99,99,,Healthy,68.1,front humphry; 2nd tree on left of shrubbery,2022
100,100,,Healthy,88.5,37.1 51.4; blck locust front humphry near firehyd,2022
101,101,1196,Extreme distress,136.7,35.4 38.4 24.6 38.3,2022
102,102,1219,Some distress,70.5,spongy moth nest,2022
103,103,1218,Healthy,88.2,,2022
104,104,1217,Healthy,53.8,,2022
105,105,1225,Healthy,54.4,,2022
106,106,,Healthy,71.3,behind Humphrey house Next to faculty parking sign,2022
107,107,1228,Healthy,37.6,,2022
108,108,1229,Healthy,55.6,,2022
109,109,1232,Healthy,55.8,,2022
110,110,1230,Healthy,43.4,,2022
111,111,1231,Healthy,45.9,,2022
112,112,607,Healthy,73.8,,2022
113,113,610,Healthy,39.6,,2022
114,114,608,Healthy,59.9,,2022
115,115,609,Healthy,41.2,,2022
116,116,612,Healthy,29.7,,2022
117,117,615,Healthy,26.4,5.4 6.4 7.7 4.9,2022
118,118,616,Healthy,23.4,,2022
119,119,617,Some distress,64.6,9 8.3 3.9 7..2 8.3 6.7 10.5 6.2 4.5,2022
120,120,631,Healthy,31.9,,2022
121,121,630,Some distress,63.9,,2022
122,122,629,Some distress,78.2,,2022
123,123,628,Healthy,55.3,,2022
124,124,626,Some distress,48.8,,2022
125,125,625,Healthy,52.2,,2022
126,126,624,Healthy,49.1,,2022
127,127,618,Some distress,50.3,,2022
128,128,619,Healthy,25.4,,2022
129,129,621,Healthy,72.6,,2022
130,130,622,Healthy,54.8,,2022
131,131,623,Healthy,68,,2022
132,132,627,Healthy,63.5,,2022
133,133,634,Some distress,49,,2022
134,134,635,Healthy,49,,2022
135,135,636,Some distress,79.7,,2022
136,136,633,Healthy,38.6,,2022
137,137,632,Healthy,13,,2022
138,138,637,Healthy,90.8,,2022
139,139,639,Healthy,48.9,,2022
140,140,,Extreme distress,63.9,,2022
141,141,640,Some distress,77.7,,2022
