tree_id,tag_number,species_code,latin_name,common_name,sun,long,lat
0,1070,PLOC,Platanus occidentalis,American Sycamore,Full,-85.6009209,42.29159749
1,1071,PLOC,Platanus occidentalis,American Sycamore,Full,-85.60092119,42.29142676
2,1072,PLOC,Platanus occidentalis,American Sycamore,Full,-85.60093384,42.29132185
3,1073,PLOC,Platanus occidentalis,American Sycamore,Full,-85.60095127,42.29120757
4,1086,MA33,Malus spp.,Crab Apple,Partial,-85.60083271,42.29107917
5,1090,COKO,Cornus kousa,Kousa Dogwood,Full,-85.60089238,42.29101963
6,1092,COKO,Cornus kousa,Kousa Dogwood,Partial,-85.60089506,42.29088472
7,1093,MA34,Malus spp.,Crab Apple,Partial,-85.60087732,42.2908223
8,1094,CRDO,Crataegus douglasii,Black Hawthorne,Partial,-85.60082409,42.29081206
9,1095,QUAL,Quercus alba,White Oak,Full,-85.60096583,42.29069828
10,1096,AEGL,Aesculus glabra,Ohio Buckeye,Full,-85.60101457,42.29053543
11,1135,ACPL,Acer platanoides,Norway Maple,Partial,-85.60086557,42.29044297
12,,,,,,-85.60069805,42.29043523
13,,,,,,-85.60058704,42.29044053
14,1097,QUAL,Quercus alba,White Oak,Full,-85.6007166,42.2905845
15,1099,MA35,Malus spp.,Crab Apple,Partial,-85.60056885,42.29059829
16,1098,CRDO,Crataegus douglasii,Black Hawthorne,Partial,-85.60057257,42.290632
17,1100,MA36,Malus spp.,Crab Apple,Partial,-85.60046908,42.2905901
18,1101,MA37,Malus spp.,Crab Apple,Partial,-85.60041219,42.29059838
19,1134,ACSA6,Acer saccharum,Sugar Maple,Partial,-85.60008272,42.29060037
20,1127,ACSA5,Acer saccharum,Sugar Maple,Partial,-85.60011542,42.29062516
21,1126,PRSE17,Prunus serotina,Black Cherry,Partial,-85.60010092,42.29071244
22,1133,ROPS,Robinia pseudoacacia,Black Locust,Partial,-85.60001442,42.29062236
23,1131,FAGR,Fagus grandifolia,American Beech,Partial,-85.59997904,42.29057948
24,1132,ROPS,Robinia pseudoacacia,Black Locust,Partial,-85.5999405,42.29060744
25,1130,ACPL,Acer platanoides,Norway Maple,Full,-85.59998109,42.29045429
26,1085,PYCA,Pyrus calleryana,Callery Pear,Full,-85.60017361,42.29144972
27,1084,CRDO,Crataegus douglasii,Black Hawthorne,Partial,-85.60031045,42.29134376
28,1083,CRDO,Crataegus douglasii,Black Hawthorne,Partial,-85.60037402,42.29133868
29,1080,PIST,Pinus strobus,Eastern White Pine,Partial,-85.60041304,42.29134368
30,1081,PIST,Pinus strobus,Eastern White Pine,Partial,-85.60038842,42.29135679
31,1079,PIST,Pinus strobus,Eastern White Pine,Partial,-85.60041409,42.29136967
32,1082,PIST,Pinus strobus,Eastern White Pine,Partial,-85.60036281,42.29137422
33,1078,PIST,Pinus strobus,Eastern White Pine,Partial,-85.600391,42.29138837
34,1077,PIST,Pinus strobus,Eastern White Pine,Partial,-85.60040666,42.29139648
